epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb,mode,mode_label,batch_size,run_num
1,22,optimizer_step,1774931461.3354352,1774931461.473781,138.346,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,22,total_step,1774931461.0548162,1774931461.4770887,422.272,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,23,data_transfer,1774931461.5074005,1774931461.5078683,0.468,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,23,forward,1774931461.5106192,1774931461.6785233,167.904,12583.9,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,23,backward,1774931461.682026,1774931461.8203545,138.328,12768.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,23,ema_update,1774931461.932357,1774931461.9594808,27.124,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,23,optimizer_step,1774931461.823735,1774931461.962904,139.169,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,23,total_step,1774931461.5073874,1774931461.966543,459.156,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,24,data_transfer,1774931461.9980514,1774931461.998534,0.483,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,24,forward,1774931462.0014586,1774931462.1750352,173.577,12686.0,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,24,backward,1774931462.1784604,1774931462.326954,148.494,12786.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,24,ema_update,1774931462.4388564,1774931462.46594,27.084,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,24,optimizer_step,1774931462.3306303,1774931462.469405,138.774,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,24,total_step,1774931461.998039,1774931462.4726462,474.607,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,25,data_transfer,1774931462.5046782,1774931462.505147,0.469,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,25,forward,1774931462.5081167,1774931462.649559,141.442,11578.1,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,25,backward,1774931462.6525729,1774931462.750388,97.815,12770.1,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,25,ema_update,1774931462.8623762,1774931462.8894787,27.102,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,25,optimizer_step,1774931462.7540689,1774931462.8928163,138.748,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,25,total_step,1774931462.5046656,1774931462.8960657,391.4,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,26,data_transfer,1774931462.9275808,1774931462.9280546,0.474,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,26,forward,1774931462.930903,1774931463.1149046,184.002,13381.1,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,26,backward,1774931463.1183755,1774931463.2941332,175.758,12782.9,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,26,ema_update,1774931463.4057367,1774931463.432834,27.097,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,26,optimizer_step,1774931463.2974353,1774931463.4361775,138.742,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,26,total_step,1774931462.9275682,1774931463.4393656,511.797,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,27,data_transfer,1774931463.4696398,1774931463.470109,0.469,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,27,forward,1774931463.4731014,1774931463.651393,178.292,12834.1,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,27,backward,1774931463.654708,1774931463.8114417,156.734,12788.0,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,27,ema_update,1774931463.9231164,1774931463.9501877,27.071,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,27,optimizer_step,1774931463.8148012,1774931463.953442,138.641,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,27,total_step,1774931463.4696274,1774931463.9567597,487.132,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,28,data_transfer,1774931464.0130844,1774931464.0135589,0.474,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,28,forward,1774931464.0168524,1774931464.1864932,169.641,12651.3,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,28,backward,1774931464.1894004,1774931464.331754,142.354,12766.3,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,28,ema_update,1774931464.4434576,1774931464.4705365,27.079,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,28,optimizer_step,1774931464.3349705,1774931464.4748323,139.862,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,28,total_step,1774931464.0130715,1774931464.4780252,464.954,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,29,data_transfer,1774931464.510558,1774931464.5110478,0.49,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,29,forward,1774931464.5137937,1774931464.7001512,186.357,13167.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,29,backward,1774931464.703983,1774931464.869735,165.752,12769.9,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,29,ema_update,1774931464.9815896,1774931465.0086672,27.078,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,29,optimizer_step,1774931464.873176,1774931465.0119157,138.74,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,29,total_step,1774931464.5105443,1774931465.0153096,504.765,10194.2,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,30,data_transfer,1774931465.0695212,1774931465.0700152,0.494,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,30,forward,1774931465.0732107,1774931465.259421,186.21,13306.7,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,30,backward,1774931465.262733,1774931465.433256,170.523,12778.8,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,30,ema_update,1774931465.544866,1774931465.5719388,27.073,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
