epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,93,0.070768,548.8,0.872,262.087,131.916,139.232,27.135,1774931197.261999,1774931197.8142126
1,94,0.07169,668.38,0.865,303.954,207.681,140.371,27.126,1774931197.8581119,1774931198.5298011
1,95,0.068962,575.181,0.86,269.814,149.69,139.234,27.157,1774931198.5805438,1774931199.1588674
1,96,0.069173,549.904,0.867,262.383,132.931,138.821,27.136,1774931199.2121503,1774931199.7652383
1,97,0.068293,634.246,0.873,290.511,186.559,139.573,27.131,1774931199.8102071,1774931200.447637
1,98,0.064815,626.877,0.878,286.731,186.424,138.997,27.139,1774931200.499032,1774931201.128807
1,99,0.065795,794.318,0.865,346.803,293.637,139.078,27.116,1774931201.179734,1774931201.9779203
1,100,0.06998,625.151,0.873,290.802,179.4,139.116,27.107,1774931202.0230513,1774931202.6518805
2,101,0.069217,709.005,0.867,320.336,234.222,139.569,27.116,1774931202.704549,1774931203.416723
2,102,0.063173,627.658,0.873,292.188,179.232,139.451,27.137,1774931203.5093167,1774931204.1400223
2,103,0.06112,804.788,0.873,350.125,299.551,139.211,27.128,1774931204.189762,1774931204.9978724
2,104,0.060188,578.703,0.866,271.512,152.214,139.135,27.131,1774931205.0433035,1774931205.6259084
2,105,0.059276,588.115,0.871,272.112,160.48,139.353,27.128,1774931205.6750875,1774931206.2666664
2,106,0.05961,604.88,0.874,282.566,167.474,139.221,27.182,1774931206.3117914,1774931206.9199016
2,107,0.057375,641.767,0.87,295.581,190.367,139.505,27.121,1774931206.9697669,1774931207.6149
2,108,0.058214,612.93,0.87,286.758,172.684,138.5,27.162,1774931207.665591,1774931208.2833724
2,109,0.058225,731.084,0.869,327.161,248.701,139.535,27.125,1774931208.3290598,1774931209.0633569
2,110,0.056085,664.023,0.862,302.11,207.64,139.045,27.112,1774931209.1145031,1774931209.781579
2,111,0.054468,569.486,0.871,267.216,148.616,139.109,27.12,1774931209.8255694,1774931210.3979611
2,112,0.053292,779.37,0.863,338.675,284.371,139.813,27.17,1774931210.448424,1774931211.2311378
2,113,0.053532,698.121,0.866,317.623,225.629,138.973,27.121,1774931211.343209,1774931212.0442557
2,114,0.053947,621.363,0.876,290.042,177.742,138.619,27.125,1774931212.099376,1774931212.7233365
2,115,0.052664,553.794,0.868,264.053,135.955,139.012,27.136,1774931212.7673218,1774931213.3236094
2,116,0.053989,619.678,0.875,287.01,173.06,141.503,27.133,1774931213.3660862,1774931213.988562
2,117,0.055857,659.52,0.861,302.723,202.863,138.139,27.109,1774931214.0378857,1774931214.7000785
2,118,0.055895,710.667,0.872,322.178,236.021,138.558,27.174,1774931214.7506025,1774931215.4640806
2,119,0.052157,659.134,0.875,301.023,202.854,139.126,27.138,1774931215.5436335,1774931216.2056708
2,120,0.050703,678.229,0.872,308.885,215.192,138.718,27.115,1774931216.2540438,1774931216.9349005
2,121,0.049355,561.656,0.865,267.447,141.194,139.126,27.138,1774931216.9865203,1774931217.5506704
2,122,0.047928,617.573,0.877,287.22,177.679,138.98,27.105,1774931217.596928,1774931218.2176833
2,123,0.047431,653.581,0.859,300.927,199.225,139.261,27.104,1774931218.2645662,1774931218.9207387
2,124,0.047945,652.328,0.869,300.285,198.367,139.301,27.149,1774931219.0000045,1774931219.6552997
2,125,0.047635,570.196,0.88,270.622,146.064,138.769,27.13,1774931219.7083323,1774931220.282566
2,126,0.047877,621.416,0.871,288.318,179.216,138.971,27.116,1774931220.3333032,1774931220.9574544
2,127,0.04851,555.433,0.866,264.128,137.377,138.696,27.111,1774931221.009009,1774931221.5675602
2,128,0.050253,705.81,0.874,317.778,234.381,139.01,27.128,1774931221.7155387,1774931222.4243302
2,129,0.048571,568.043,0.862,266.053,148.367,138.918,27.149,1774931222.4918115,1774931223.0625558
2,130,0.044564,550.539,0.874,260.214,136.433,139.189,27.135,1774931223.1138012,1774931223.6673286
2,131,0.044629,848.265,0.865,359.586,335.724,138.674,27.159,1774931223.7163231,1774931224.5672472
2,132,0.045231,716.238,0.876,322.341,240.01,138.738,27.122,1774931224.6240628,1774931225.3430223
2,133,0.044114,564.428,0.868,267.831,143.099,139.4,27.09,1774931225.3861058,1774931225.9531512
2,134,0.043574,652.174,0.878,300.598,197.96,138.704,27.157,1774931226.005667,1774931226.6608722
2,135,0.042261,641.584,0.866,295.221,192.225,138.585,27.191,1774931226.7093325,1774931227.354635
2,136,0.042787,626.45,0.877,291.449,181.628,138.929,27.146,1774931227.3970375,1774931228.026605
2,137,0.042236,533.736,0.871,254.234,125.083,139.029,27.161,1774931228.0787904,1774931228.615205
2,138,0.041616,684.528,0.874,311.977,219.892,138.197,27.113,1774931228.6632197,1774931229.351085
2,139,0.043301,581.593,0.871,274.292,153.551,138.752,27.111,1774931229.392539,1774931229.9778967
2,140,0.045746,542.665,0.865,257.045,133.183,139.089,27.088,1774931230.0297997,1774931230.5750585
2,141,0.041643,736.558,0.863,329.314,253.921,139.116,27.115,1774931230.6216216,1774931231.360703
2,142,0.04052,645.541,0.883,297.491,194.471,138.8,27.132,1774931231.4104023,1774931232.0595992
2,143,0.042964,539.68,0.872,259.556,127.261,139.199,27.161,1774931232.1010802,1774931232.643505
2,144,0.039659,715.166,0.885,318.886,241.792,138.547,27.139,1774931232.695005,1774931233.413778
2,145,0.04796,548.958,0.871,260.765,133.336,139.048,27.144,1774931233.4634397,1774931234.0151007
